2.66,	-0.731256,	1.71623,	-0.75121,	0.0882077,	
2.67,	-0.738762,	1.7171,	-0.750081,	0.0855714,	
2.68,	-0.746257,	1.71794,	-0.748948,	0.0829497,	
2.69,	-0.753741,	1.71876,	-0.74781,	0.0803424,	
2.7,	-0.761213,	1.71955,	-0.746667,	0.0777494,	
2.71,	-0.768674,	1.72031,	-0.74552,	0.0751706,	
2.72,	-0.776123,	1.72105,	-0.744369,	0.072606,	
2.73,	-0.783561,	1.72176,	-0.743214,	0.0700554,	
2.74,	-0.790988,	1.72245,	-0.742054,	0.0675188,	
2.75,	-0.798402,	1.72311,	-0.74089,	0.0649961,	
2.76,	-0.805805,	1.72375,	-0.739723,	0.0624871,	
2.77,	-0.813197,	1.72436,	-0.738551,	0.0599918,	
2.78,	-0.820576,	1.72495,	-0.737376,	0.0575101,	
2.79,	-0.827944,	1.72551,	-0.736197,	0.0550419,	
2.8,	-0.8353,	1.72605,	-0.735014,	0.0525871,	
2.81,	-0.842644,	1.72656,	-0.733827,	0.0501457,	
2.82,	-0.849976,	1.72705,	-0.732637,	0.0477175,	
2.83,	-0.857297,	1.72752,	-0.731444,	0.0453024,	
2.84,	-0.864605,	1.72796,	-0.730247,	0.0429004,	
2.85,	-0.871901,	1.72838,	-0.729047,	0.0405114,	
2.86,	-0.879186,	1.72877,	-0.727843,	0.0381353,	
2.87,	-0.886458,	1.72914,	-0.726637,	0.0357721,	
2.88,	-0.893718,	1.72948,	-0.725427,	0.0334215,	
2.89,	-0.900967,	1.72981,	-0.724214,	0.0310836,	
2.9,	-0.908203,	1.73011,	-0.722998,	0.0287583,	
2.91,	-0.915426,	1.73038,	-0.721779,	0.0264455,	
2.92,	-0.922638,	1.73063,	-0.720558,	0.024145,	
2.93,	-0.929837,	1.73086,	-0.719333,	0.0218569,	
2.94,	-0.937025,	1.73107,	-0.718106,	0.019581,	
2.95,	-0.944199,	1.73126,	-0.716876,	0.0173173,	
2.96,	-0.951362,	1.73142,	-0.715644,	0.0150657,	
2.97,	-0.958512,	1.73156,	-0.714408,	0.0128261,	
2.98,	-0.96565,	1.73167,	-0.713171,	0.0105984,	
2.99,	-0.972775,	1.73177,	-0.711931,	0.0083826,	
3,	-0.979889,	1.73184,	-0.710688,	0.00617854,	
3.01,	-0.986989,	1.73189,	-0.709443,	0.00398618,	
3.02,	-0.994077,	1.73192,	-0.708196,	0.00180544,	
3.03,	-1.00115,	1.73193,	-0.706947,	-0.000363746,	
3.04,	-1.00822,	1.73191,	-0.705695,	-0.00252146,	
3.05,	-1.01527,	1.73188,	-0.704441,	-0.00466778,	
3.06,	-1.0223,	1.73182,	-0.703185,	-0.00680277,	
3.07,	-1.02933,	1.73174,	-0.701927,	-0.00892651,	
3.08,	-1.03634,	1.73164,	-0.700667,	-0.0110391,	
3.09,	-1.04334,	1.73152,	-0.699406,	-0.0131405,	
3.1,	-1.05033,	1.73138,	-0.698142,	-0.0152309,	
3.11,	-1.05731,	1.73122,	-0.696876,	-0.0173104,	
3.12,	-1.06427,	1.73103,	-0.695608,	-0.019379,	
3.13,	-1.07122,	1.73083,	-0.694339,	-0.0214367,	
3.14,	-1.07816,	1.7306,	-0.693068,	-0.0234837,	
3.15,	-1.08508,	1.73036,	-0.691795,	-0.02552,	
3.16,	-1.09199,	1.73009,	-0.690521,	-0.0275456,	
3.17,	-1.09889,	1.72981,	-0.689245,	-0.0295607,	
3.18,	-1.10578,	1.7295,	-0.687968,	-0.0315654,	
3.19,	-1.11265,	1.72918,	-0.686689,	-0.0335596,	
3.2,	-1.11951,	1.72883,	-0.685408,	-0.0355435,	
3.21,	-1.12636,	1.72846,	-0.684126,	-0.0375171,	
3.22,	-1.13319,	1.72808,	-0.682843,	-0.0394804,	
3.23,	-1.14001,	1.72767,	-0.681558,	-0.0414336,	
3.24,	-1.14682,	1.72725,	-0.680272,	-0.0433768,	
3.25,	-1.15362,	1.72681,	-0.678984,	-0.0453099,	
3.26,	-1.1604,	1.72634,	-0.677696,	-0.047233,	
3.27,	-1.16717,	1.72586,	-0.676406,	-0.0491462,	
3.28,	-1.17393,	1.72536,	-0.675114,	-0.0510496,	
3.29,	-1.18067,	1.72484,	-0.673822,	-0.0529433,	
3.3,	-1.18741,	1.7243,	-0.672529,	-0.0548272,	
3.31,	-1.19413,	1.72374,	-0.671234,	-0.0567014,	
3.32,	-1.20083,	1.72317,	-0.669939,	-0.0585661,	
3.33,	-1.20752,	1.72257,	-0.668642,	-0.0604213,	
3.34,	-1.2142,	1.72196,	-0.667345,	-0.0622669,	
3.35,	-1.22087,	1.72133,	-0.666046,	-0.0641032,	
3.36,	-1.22752,	1.72068,	-0.664747,	-0.0659301,	
3.37,	-1.23417,	1.72001,	-0.663446,	-0.0677477,	
3.38,	-1.24079,	1.71932,	-0.662145,	-0.0695561,	
3.39,	-1.24741,	1.71862,	-0.660843,	-0.0713553,	
3.4,	-1.25401,	1.71789,	-0.65954,	-0.0731453,	
3.41,	-1.2606,	1.71715,	-0.658236,	-0.0749263,	
3.42,	-1.26717,	1.7164,	-0.656932,	-0.0766983,	
3.43,	-1.27374,	1.71562,	-0.655626,	-0.0784614,	
3.44,	-1.28029,	1.71483,	-0.65432,	-0.0802155,	
3.45,	-1.28682,	1.71402,	-0.653014,	-0.0819608,	
3.46,	-1.29335,	1.71319,	-0.651706,	-0.0836973,	
3.47,	-1.29986,	1.71234,	-0.650399,	-0.0854251,	
3.48,	-1.30636,	1.71148,	-0.64909,	-0.0871442,	
3.49,	-1.31284,	1.7106,	-0.647781,	-0.0888546,	
3.5,	-1.31931,	1.7097,	-0.646471,	-0.0905565,	
3.51,	-1.32577,	1.70879,	-0.645161,	-0.0922499,	
3.52,	-1.33221,	1.70786,	-0.64385,	-0.0939348,	
3.53,	-1.33865,	1.70691,	-0.642539,	-0.0956113,	
3.54,	-1.34506,	1.70594,	-0.641227,	-0.0972794,	
3.55,	-1.35147,	1.70496,	-0.639915,	-0.0989392,	
3.56,	-1.35786,	1.70396,	-0.638603,	-0.100591,	
3.57,	-1.36424,	1.70295,	-0.63729,	-0.102234,	
