3.81,	-1.51335,	1.67453,	-0.605817,	-0.139071,	
3.82,	-1.5194,	1.67314,	-0.604501,	-0.140524,	
3.83,	-1.52544,	1.67172,	-0.603185,	-0.14197,	
3.84,	-1.53146,	1.6703,	-0.601869,	-0.143408,	
3.85,	-1.53748,	1.66886,	-0.600553,	-0.14484,	
3.86,	-1.54348,	1.6674,	-0.599237,	-0.146265,	
3.87,	-1.54946,	1.66593,	-0.597921,	-0.147683,	
3.88,	-1.55543,	1.66445,	-0.596605,	-0.149095,	
3.89,	-1.56139,	1.66295,	-0.59529,	-0.150499,	
3.9,	-1.56734,	1.66144,	-0.593974,	-0.151897,	
3.91,	-1.57327,	1.65991,	-0.592659,	-0.153288,	
3.92,	-1.57919,	1.65837,	-0.591344,	-0.154672,	
3.93,	-1.5851,	1.65682,	-0.590029,	-0.15605,	
3.94,	-1.59099,	1.65525,	-0.588714,	-0.157421,	
3.95,	-1.59687,	1.65367,	-0.5874,	-0.158785,	
3.96,	-1.60274,	1.65207,	-0.586085,	-0.160143,	
3.97,	-1.6086,	1.65047,	-0.584771,	-0.161495,	
3.98,	-1.61444,	1.64884,	-0.583457,	-0.16284,	
3.99,	-1.62027,	1.64721,	-0.582143,	-0.164179,	
4,	-1.62608,	1.64556,	-0.58083,	-0.165511,	
4.01,	-1.63188,	1.6439,	-0.579517,	-0.166837,	
4.02,	-1.63767,	1.64222,	-0.578204,	-0.168156,	
4.03,	-1.64345,	1.64054,	-0.576891,	-0.16947,	
4.04,	-1.64921,	1.63884,	-0.575579,	-0.170777,	
4.05,	-1.65496,	1.63712,	-0.574267,	-0.172078,	
4.06,	-1.66069,	1.63539,	-0.572955,	-0.173372,	
4.07,	-1.66642,	1.63365,	-0.571644,	-0.174661,	
4.08,	-1.67213,	1.6319,	-0.570333,	-0.175943,	
4.09,	-1.67782,	1.63014,	-0.569022,	-0.17722,	
4.1,	-1.68351,	1.62836,	-0.567711,	-0.17849,	
4.11,	-1.68918,	1.62657,	-0.566401,	-0.179755,	
4.12,	-1.69484,	1.62476,	-0.565091,	-0.181013,	
4.13,	-1.70048,	1.62295,	-0.563782,	-0.182265,	
4.14,	-1.70611,	1.62112,	-0.562473,	-0.183512,	
4.15,	-1.71173,	1.61928,	-0.561164,	-0.184753,	
4.16,	-1.71734,	1.61742,	-0.559856,	-0.185988,	
4.17,	-1.72293,	1.61556,	-0.558548,	-0.187217,	
4.18,	-1.72851,	1.61368,	-0.557241,	-0.18844,	
4.19,	-1.73407,	1.61179,	-0.555934,	-0.189658,	
4.2,	-1.73963,	1.60988,	-0.554627,	-0.190869,	
4.21,	-1.74517,	1.60797,	-0.553321,	-0.192076,	
4.22,	-1.75069,	1.60604,	-0.552015,	-0.193276,	
4.23,	-1.75621,	1.6041,	-0.55071,	-0.194471,	
4.24,	-1.76171,	1.60215,	-0.549405,	-0.19566,	
4.25,	-1.76719,	1.60019,	-0.548101,	-0.196844,	
4.26,	-1.77267,	1.59822,	-0.546797,	-0.198022,	
4.27,	-1.77813,	1.59623,	-0.545493,	-0.199195,	
4.28,	-1.78358,	1.59423,	-0.54419,	-0.200362,	
4.29,	-1.78901,	1.59222,	-0.542887,	-0.201524,	
4.3,	-1.79444,	1.5902,	-0.541585,	-0.202681,	
4.31,	-1.79985,	1.58817,	-0.540284,	-0.203832,	
4.32,	-1.80524,	1.58613,	-0.538983,	-0.204977,	
4.33,	-1.81063,	1.58407,	-0.537682,	-0.206118,	
4.34,	-1.816,	1.582,	-0.536382,	-0.207253,	
